,Unnamed: 0,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width_B,serve_width_BC,serve_width_BW,serve_width_C,serve_width_W,serve_depth_CTL,serve_depth_NCTL,return_depth_D,return_depth_ND,winner_shot_type_0,winner_shot_type_B,winner_shot_type_F,elapsed_seconds,sf_elo_diff_538,match_prob_kls_EM
12,12,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:08:06,1,2,13,0,0,1,0,15,15,2,1,1,8,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.013,18.626,4,120,0,0,0,1,0,0,1,1,0,1,0,0,486,248.595498,0.725447787
13,13,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:08:41,1,2,14,0,0,1,0,30,15,2,1,2,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.667,7.112,3,128,0,0,0,0,1,0,1,0,1,0,0,1,521,248.595498,0.725447787
14,14,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:09:11,1,2,15,0,0,1,0,30,30,2,1,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,2.237,1,130,0,0,0,1,0,0,1,0,1,1,0,0,551,248.595498,0.725447787
15,15,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:09:37,1,2,16,0,0,1,0,30,40,2,2,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.307,2,97,0,0,1,0,0,0,1,1,0,1,0,0,577,248.595498,0.725447787
16,16,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:10:20,1,2,17,0,0,1,0,40,40,2,1,2,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245,5.499,1,124,0,1,0,0,0,0,1,0,0,1,0,0,620,248.595498,0.725447787
17,17,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:10:45,1,2,18,0,0,1,0,40,55,2,1,2,9,9,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.194,16.594,3,116,0,0,0,1,0,0,1,0,1,0,0,1,645,248.595498,0.725447787
18,18,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:11:24,1,3,19,0,0,1,1,0,0,1,1,1,10,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,1.073,1,126,0,0,0,1,0,1,0,0,0,1,0,0,684,248.595498,0.725447787
19,19,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:11:47,1,3,20,0,0,1,1,15,0,1,1,1,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.088,34.756,5,127,0,0,0,0,1,1,0,1,0,1,0,0,707,248.595498,0.725447787
20,20,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:12:17,1,3,21,0,0,1,1,30,0,1,1,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.288,10.818,2,114,0,0,1,0,0,0,1,1,0,1,0,0,737,248.595498,0.725447787
21,21,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:12:44,1,3,22,0,0,1,1,30,15,1,1,1,12,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.166,32.944,9,127,1,0,0,0,0,0,1,0,1,1,0,0,764,248.595498,0.725447787
22,22,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:13:26,1,3,23,0,0,1,1,40,15,1,2,1,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.782,4.479,1,103,0,1,0,0,0,0,1,1,0,1,0,0,806,248.595498,0.725447787
23,23,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:15:31,1,4,24,0,0,2,1,0,0,2,2,2,13,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.601,13.713,3,107,0,1,0,0,0,0,1,0,1,1,0,0,931,248.595498,0.725447787
24,24,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:16:15,1,4,25,0,0,2,1,0,15,2,1,2,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.925,13.976,3,111,0,0,1,0,0,0,1,0,1,1,0,0,975,248.595498,0.725447787
25,25,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:16:47,1,4,26,0,0,2,1,0,30,2,1,2,13,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,1.067,1,125,0,0,0,1,0,0,1,0,0,1,0,0,1007,248.595498,0.725447787
26,26,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:17:08,1,4,27,0,0,2,1,0,40,2,1,2,13,14,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.027,7.402,3,126,0,0,0,0,1,0,1,0,0,0,0,1,1028,248.595498,0.725447787
27,27,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:17:49,1,5,28,0,0,2,2,0,0,1,1,1,14,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.352,29.366,5,116,0,0,0,0,1,1,0,0,1,0,0,1,1069,248.595498,0.725447787
28,28,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:18:25,1,5,29,0,0,2,2,15,0,1,1,1,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285,8.276,1,129,0,0,0,1,0,0,1,0,1,1,0,0,1105,248.595498,0.725447787
29,29,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:18:50,1,5,30,0,0,2,2,30,0,1,1,1,16,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.974,12.523,3,110,0,1,0,0,0,0,1,0,1,1,0,0,1130,248.595498,0.725447787
30,30,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:19:20,1,5,31,0,0,2,2,40,0,1,2,2,16,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.609,6.965,2,113,0,1,0,0,0,0,1,0,1,1,0,0,1160,248.595498,0.725447787
31,31,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:20:03,1,5,32,0,0,2,2,40,15,1,2,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.518,12.74,2,104,0,1,0,0,0,0,1,1,0,1,0,0,1203,248.595498,0.725447787
32,32,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:20:55,1,5,33,0,0,2,2,40,30,1,1,2,16,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.859,11.439,2,111,1,0,0,0,0,1,0,1,0,1,0,0,1255,248.595498,0.725447787
33,33,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:21:27,1,5,34,0,0,2,2,40,40,1,2,1,17,17,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30.782,25.6,5,97,0,0,0,1,0,1,0,1,0,1,0,0,1287,248.595498,0.725447787
34,34,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:22:19,1,5,35,0,0,2,2,55,40,1,1,1,18,17,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.824,9.574,1,114,0,0,0,1,0,0,1,1,0,1,0,0,1339,248.595498,0.725447787
35,35,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:24:22,1,6,36,0,0,3,2,0,0,2,1,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.809,6.11,1,110,0,0,0,0,1,1,0,0,1,1,0,0,1462,248.595498,0.725447787
36,36,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:24:53,1,6,37,0,0,3,2,0,15,2,2,1,19,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.094,29.593,6,90,0,0,1,0,0,0,1,0,1,1,0,0,1493,248.595498,0.725447787
37,37,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:26:05,1,6,38,0,0,3,2,15,15,2,1,2,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815,5.189,1,125,0,0,0,1,0,0,1,1,0,1,0,0,1565,248.595498,0.725447787
38,38,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:26:30,1,6,39,0,0,3,2,15,30,2,1,2,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.678,2.617,1,127,1,0,0,0,0,0,1,0,1,1,0,0,1590,248.595498,0.725447787
39,39,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:26:56,1,6,40,0,0,3,2,15,40,2,2,2,19,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.043,4.667,1,111,0,0,1,0,0,0,1,0,1,1,0,0,1616,248.595498,0.725447787
40,40,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:27:42,1,7,41,0,0,3,3,0,0,1,2,1,20,21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.233,32.677,9,107,0,0,1,0,0,0,1,0,1,0,1,0,1662,248.595498,0.725447787
41,41,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:28:37,1,7,42,0,0,3,3,15,0,1,1,1,21,21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9.872,19.138,3,120,0,0,0,1,0,0,1,0,1,1,0,0,1717,248.595498,0.725447787
42,42,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:29:06,1,7,43,0,0,3,3,30,0,1,1,1,22,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.277,11.043,3,115,0,0,0,0,1,1,0,0,1,0,0,1,1746,248.595498,0.725447787
43,43,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:29:32,1,7,44,0,0,3,3,40,0,1,2,2,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.076,18.664,6,104,0,0,1,0,0,0,1,1,0,1,0,0,1772,248.595498,0.725447787
44,44,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:30:17,1,7,45,0,0,3,3,40,15,1,2,1,23,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.727,25.324,5,101,1,0,0,0,0,0,1,1,0,1,0,0,1817,248.595498,0.725447787
45,45,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:32:34,1,8,46,0,0,4,3,0,0,2,1,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.879,4.853,1,132,0,0,0,1,0,1,0,1,0,1,0,0,1954,248.595498,0.725447787
46,46,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:32:57,1,8,47,0,0,4,3,0,15,2,2,1,24,23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.929,0.93,0,112.3839176,0,0,0,0,1,1,0,0,0,1,0,0,1977,248.595498,0.725447787
47,47,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:33:33,1,8,48,0,0,4,3,15,15,2,1,2,24,24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.427,0.849,1,130,0,0,0,1,0,1,0,0,0,1,0,0,2013,248.595498,0.725447787
48,48,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:33:58,1,8,49,0,0,4,3,15,30,2,2,1,25,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.838,18.464,6,101,0,0,1,0,0,0,1,1,0,1,0,0,2038,248.595498,0.725447787
49,49,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:34:46,1,8,50,0,0,4,3,30,30,2,2,1,26,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61.781,54.356,16,106,1,0,0,0,0,0,1,1,0,0,0,1,2086,248.595498,0.725447787
50,50,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:36:02,1,8,51,0,0,4,3,40,30,2,2,1,27,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,29.677,19.121,6,106,1,0,0,0,0,0,1,0,1,1,0,0,2162,248.595498,0.725447787
51,51,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:37:18,1,9,52,0,0,5,3,0,0,1,1,1,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.341,4.725,1,115,0,0,1,0,0,0,1,1,0,1,0,0,2238,248.595498,0.725447787
52,52,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:37:44,1,9,53,0,0,5,3,15,0,1,2,2,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.528,7.524,2,100,0,0,1,0,0,0,1,1,0,1,0,0,2264,248.595498,0.725447787
53,53,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:38:26,1,9,54,0,0,5,3,15,15,1,1,1,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.227,6.116,1,122,0,1,0,0,0,0,1,1,0,1,0,0,2306,248.595498,0.725447787
54,54,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:38:54,1,9,55,0,0,5,3,30,15,1,1,2,29,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.654,11.702,4,115,0,0,0,1,0,0,1,0,1,1,0,0,2334,248.595498,0.725447787
55,55,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:39:29,1,9,56,0,0,5,3,30,30,1,1,1,30,26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.34,11.519,3,129,0,0,0,1,0,0,1,0,1,1,0,0,2369,248.595498,0.725447787
56,56,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:40:01,1,9,57,0,0,5,3,40,30,1,1,2,30,27,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9.299,8.077,2,113,0,0,1,0,0,0,1,0,0,1,0,0,2401,248.595498,0.725447787
57,57,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:40:33,1,9,58,0,0,5,3,40,40,1,1,1,31,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.428,29.751,7,114,0,0,1,0,0,0,1,1,0,1,0,0,2433,248.595498,0.725447787
58,58,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:41:23,1,9,59,0,0,5,3,55,40,1,2,2,31,28,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16.514,17.962,4,88,0,0,1,0,0,0,1,0,1,0,0,1,2483,248.595498,0.725447787
59,59,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:42:31,1,9,60,0,0,5,3,40,40,1,1,2,31,29,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21.882,23.411,6,123,0,1,0,0,0,0,1,1,0,0,0,1,2551,248.595498,0.725447787
60,60,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:43:18,1,9,61,0,0,5,3,40,55,1,1,1,32,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18.705,28.259,7,121,0,1,0,0,0,0,1,0,1,0,1,0,2598,248.595498,0.725447787
61,61,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:43:59,1,9,62,0,0,5,3,40,40,1,1,1,33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.109,3.14,1,130,0,0,0,1,0,0,1,0,1,1,0,0,2639,248.595498,0.725447787
62,62,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:44:29,1,9,63,0,0,5,3,55,40,1,1,1,34,29,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,16.592,19.606,3,132,0,0,1,0,0,0,1,0,1,1,0,0,2669,248.595498,0.725447787
63,63,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:47:04,2,1,64,1,0,0,0,0,0,2,1,2,34,30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.621,0.843,1,123,0,0,0,1,0,0,1,0,0,1,0,0,2824,248.595498,0.725447787
64,64,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:47:27,2,1,65,1,0,0,0,0,15,2,1,2,34,31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896,0.864,1,117,0,0,0,1,0,0,1,0,0,1,0,0,2847,248.595498,0.725447787
65,65,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:47:52,2,1,66,1,0,0,0,0,30,2,1,2,34,32,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.619,3.818,1,123,1,0,0,0,0,0,1,0,1,1,0,0,2872,248.595498,0.725447787
66,66,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:48:17,2,1,67,1,0,0,0,0,40,2,1,2,34,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,6.471,1,122,0,0,0,1,0,1,0,0,1,1,0,0,2897,248.595498,0.725447787
67,67,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:49:17,2,2,68,1,0,0,1,0,0,1,1,1,35,33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827,1.015,1,127,0,0,0,1,0,0,1,0,0,1,0,0,2957,248.595498,0.725447787
68,68,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:49:38,2,2,69,1,0,0,1,15,0,1,2,1,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.754,3.715,1,102,0,0,1,0,0,0,1,0,1,1,0,0,2978,248.595498,0.725447787
69,69,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:50:14,2,2,70,1,0,0,1,30,0,1,2,2,36,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.314,3.801,2,111,0,0,1,0,0,0,1,1,0,0,0,1,3014,248.595498,0.725447787
70,70,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:51:10,2,2,71,1,0,0,1,30,15,1,1,2,36,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35.48,40.171,12,118,0,1,0,0,0,0,1,1,0,1,0,0,3070,248.595498,0.725447787
71,71,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:51:54,2,2,72,1,0,0,1,30,30,1,1,1,37,35,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,1.682,1,126,0,0,0,1,0,0,1,0,0,1,0,0,3114,248.595498,0.725447787
72,72,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:52:21,2,2,73,1,0,0,1,40,30,1,2,2,37,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.674,13.243,2,97,0,0,0,0,1,1,0,0,1,1,0,0,3141,248.595498,0.725447787
73,73,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:53:06,2,2,74,1,0,0,1,40,40,1,2,2,37,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.494,9.222,2,105,0,1,0,0,0,0,1,1,0,1,0,0,3186,248.595498,0.725447787
74,74,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:54:11,2,2,75,1,0,0,1,40,55,1,1,2,37,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8.235,10.59,2,129,1,0,0,0,0,0,1,0,1,1,0,0,3251,248.595498,0.725447787
75,75,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:54:56,2,3,76,1,0,0,2,0,0,2,1,2,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.125,7.455,1,126,0,0,0,1,0,1,0,1,0,1,0,0,3296,248.595498,0.725447787
76,76,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:55:20,2,3,77,1,0,0,2,0,15,2,1,2,37,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.712,11.06,1,128,0,0,0,0,1,1,0,0,1,1,0,0,3320,248.595498,0.725447787
77,77,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:55:50,2,3,78,1,0,0,2,0,30,2,1,2,37,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.788,5.077,3,108,0,0,1,0,0,0,1,1,0,0,0,1,3350,248.595498,0.725447787
78,78,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:57:08,2,3,79,1,0,0,2,0,40,2,2,2,37,42,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.044,35.246,7,101,0,0,0,0,1,1,0,1,0,1,0,0,3428,248.595498,0.725447787
79,79,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:59:22,2,4,80,1,0,0,3,0,0,1,2,2,37,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.924,44.017,10,106,1,0,0,0,0,0,1,1,0,1,0,0,3562,248.595498,0.725447787
80,80,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1:00:17,2,4,81,1,0,0,3,0,15,1,1,1,38,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.013,9.173,1,111,0,0,0,1,0,0,1,0,1,1,0,0,3617,248.595498,0.725447787
